gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations,age_group,type,district
Girl,8,15,1,3,0,3,0,3,0,0,3,3,3,3,3,3,3,2,3,6,2,1,1,6,0,1,1,1,2,3,2,1,2,4,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,8,14,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,3,2,2,1,2,2,0,0,1,0,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,3,1,1,2,1,1,0,0,3,2,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Boy,9,15,1,3,0,3,0,3,1,0,3,3,0,0,3,3,3,6,3,2,2,1,2,2,0,0,1,3,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,14-17 years,pre,latur
Girl,9,15,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,3,1,1,2,1,1,0,0,3,2,0,0,1,1,1,4,1,1,1,0,1,1,0,1,0,0,0,0,0,1,3,1,14-17 years,pre,latur
Girl,8,14,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,1,2,2,1,2,2,0,0,3,2,0,0,1,1,1,4,1,1,1,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Boy,9,15,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,3,2,8,0,2,2,0,0,1,1,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Girl,9,15,1,3,0,3,0,3,3,0,3,3,0,0,0,3,3,6,3,2,2,1,2,2,0,0,3,2,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Girl,8,14,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,1,2,2,1,2,2,0,0,3,2,0,0,1,1,1,4,1,1,1,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,1,2,2,1,2,0,0,0,1,1,0,0,2,1,2,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Boy,9,15,1,3,0,3,0,3,3,0,3,3,0,0,3,3,3,6,3,8,2,1,0,8,0,8,3,1,0,0,0,3,0,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Girl,8,14,1,3,0,3,0,3,3,0,3,3,0,0,2,2,2,6,3,2,2,1,2,2,0,0,1,1,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,3,0,14-17 years,pre,latur
Girl,9,15,1,3,0,3,0,3,3,0,3,3,0,0,2,2,2,6,3,2,2,1,2,2,0,0,,1,1,0,0,1,1,4,1,1,0,0,1,1,0,1,0,0,1,1,1,1,3,1,14-17 years,pre,latur
Boy,9,15,1,3,0,3,0,3,0,0,3,3,0,0,3,3,3,6,1,2,2,0,2,0,0,0,1,1,0,0,0,3,3,4,1,1,1,0,1,1,0,1,0,0,0,1,1,1,3,0,14-17 years,pre,latur
Girl,9,15,1,3,0,3,0,3,3,0,3,3,0,0,2,2,2,6,3,2,2,1,2,2,0,0,1,0,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,1,1,1,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,0,3,0,3,0,0,3,0,0,0,3,3,3,1,3,2,2,1,2,0,0,0,3,1,0,0,0,1,2,4,1,1,0,1,1,1,0,1,0,0,0,1,1,1,3,1,14-17 years,pre,latur
Girl,8,14,1,3,0,3,0,3,3,0,3,3,0,0,2,2,2,6,3,2,2,1,2,2,0,0,1,1,0,0,1,1,1,4,1,1,0,0,1,1,0,1,0,0,0,1,1,1,,,14-17 years,pre,latur
Girl,8,14,1,3,0,3,0,3,0,0,3,3,0,0,0,3,3,8,3,2,8,1,0,2,0,0,3,3,0,0,0,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Boy,9,15,1,3,0,3,0,3,0,0,3,3,1,3,3,3,3,4,3,2,8,1,2,2,2,1,3,3,2,0,2,2,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,0,3,0,3,3,0,3,3,1,3,3,3,3,4,3,2,2,1,2,2,2,0,3,1,2,0,1,1,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,0,3,0,3,3,0,3,3,1,0,3,3,3,4,3,8,2,0,2,2,1,0,3,1,0,0,0,3,3,4,1,1,1,0,1,1,1,0,1,1,1,1,0,1,3,1,14-17 years,pre,latur
Boy,9,15,1,3,0,3,0,3,3,0,3,3,3,0,3,3,3,4,3,2,2,1,2,2,2,2,1,3,1,0,0,3,0,4,1,1,1,0,1,1,1,0,1,1,1,1,0,1,3,1,14-17 years,pre,latur
Girl,9,15,1,3,0,3,0,3,3,0,3,3,3,1,3,3,3,4,3,2,2,1,2,2,8,0,3,3,0,0,0,3,2,4,1,0,1,1,1,1,1,0,1,1,1,1,0,1,3,1,14-17 years,pre,latur
Girl,9,15,1,3,0,3,0,3,3,0,3,3,3,0,0,3,3,4,3,2,2,1,2,2,0,0,3,3,0,0,0,3,2,4,1,1,0,1,1,1,1,0,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Girl,8,14,1,3,0,3,0,3,3,0,3,3,3,3,3,3,3,4,3,2,2,1,2,2,2,2,3,3,0,0,0,1,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Girl,9,15,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,6,7,8,8,7,8,7,0,1,2,2,3,3,2,4,1,1,1,0,1,1,1,1,0,1,1,0,0,1,3,1,14-17 years,pre,latur
Girl,9,15,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,7,7,8,2,8,7,3,1,2,3,3,3,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1,14-17 years,pre,latur
Girl,8,12,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,6,6,1,1,6,8,7,0,1,0,0,0,3,2,4,1,1,1,1,1,1,1,0,0,1,1,0,0,1,3,1,10-13 years,pre,latur
Girl,8,14,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,6,3,2,2,1,1,6,8,8,1,1,2,2,2,1,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Boy,9,14,1,3,2,3,3,3,1,3,3,3,3,3,3,3,3,4,1,2,2,5,7,2,1,5,2,1,2,2,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,0,3,0,3,0,0,3,3,0,0,3,3,3,4,3,2,2,1,2,2,0,0,3,1,2,0,0,3,2,4,1,1,1,0,1,1,1,0,1,0,0,0,0,1,3,1,14-17 years,pre,latur
Boy,9,14,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,4,1,2,2,5,7,2,1,7,2,1,2,2,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,14-17 years,pre,latur
Boy,8,17,1,3,3,0,0,0,3,3,3,2,3,3,3,3,3,4,1,2,2,5,7,2,1,7,2,1,2,2,2,1,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Girl,9,15,1,2,0,2,0,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,2,2,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,3,1,14-17 years,pre,latur
Girl,9,15,1,3,0,0,0,2,2,0,2,2,1,1,2,2,1,2,1,2,2,2,1,2,0,1,1,0,2,2,1,2,2,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,3,1,14-17 years,pre,latur
Boy,9,16,1,3,2,3,1,3,3,1,3,2,1,3,3,3,3,4,1,2,7,5,7,2,1,7,3,3,1,3,2,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,14-17 years,pre,latur
Boy,9,16,1,3,2,3,1,3,1,3,3,2,3,3,3,3,3,4,3,2,2,5,7,2,1,7,3,1,0,0,3,3,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,2,3,3,3,2,1,3,2,3,3,3,3,3,4,1,2,2,5,5,2,1,7,3,1,2,1,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,14-17 years,pre,latur
Boy,8,14,1,3,2,3,3,3,2,3,3,2,3,3,3,3,3,4,1,2,2,5,5,2,1,7,3,1,2,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,14-17 years,pre,latur
Girl,8,14,1,3,2,3,3,3,3,3,3,3,1,3,2,3,3,4,1,2,2,1,5,2,1,7,1,1,2,1,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,14-17 years,pre,latur
Girl,8,14,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,6,2,2,6,2,7,1,1,2,1,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,1,14-17 years,pre,latur
Girl,6,12,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,0,2,2,1,2,2,1,7,1,3,3,3,3,3,3,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,10-13 years,pre,latur
Girl,9,15,1,3,2,3,1,3,3,1,3,2,3,3,3,3,2,2,3,2,2,1,1,2,8,7,3,1,2,1,3,3,2,4,1,1,1,0,1,1,0,1,0,0,0,0,1,1,7,1,14-17 years,pre,latur
Boy,9,15,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,1,2,2,5,5,5,1,1,3,1,2,3,2,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,14-17 years,pre,latur
Boy,8,14,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,5,5,2,8,1,3,1,2,3,1,1,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,14-17 years,pre,latur
Boy,8,15,1,1,3,2,3,3,3,3,3,2,3,3,3,3,3,4,3,2,2,6,5,2,2,7,3,1,2,3,1,1,2,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,14-17 years,pre,latur
Boy,9,14,1,3,2,3,1,1,2,1,3,2,3,3,3,3,3,4,3,2,2,5,5,2,8,7,2,3,0,0,3,3,0,4,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,14-17 years,pre,latur
Girl,9,15,1,3,1,3,3,3,3,3,3,2,3,3,3,3,3,4,3,2,2,3,1,2,1,1,2,1,2,2,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14-17 years,pre,latur
Girl,9,15,1,3,2,3,1,3,3,1,3,2,3,3,3,3,1,2,3,2,2,1,1,2,8,7,3,1,2,1,3,3,2,4,1,1,1,0,1,1,0,0,0,0,0,0,0,1,7,1,14-17 years,pre,latur
Boy,8,14,1,3,2,3,0,3,3,3,3,1,3,0,3,3,3,2,3,6,6,7,7,8,5,7,3,3,0,0,0,3,0,4,1,1,1,0,0,1,1,0,0,1,1,0,0,2,1,1,14-17 years,pre,latur
Girl,8,14,1,3,2,3,0,3,3,3,3,2,1,1,2,3,1,2,1,6,6,6,7,7,5,7,3,3,0,0,0,3,2,4,1,1,1,0,0,1,1,0,0,1,1,0,0,2,1,2,14-17 years,pre,latur
Girl,8,14,1,3,2,3,3,3,3,3,0,0,0,0,0,1,1,2,3,2,2,5,5,5,8,8,3,3,0,0,0,3,0,4,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,1,3,2,3,0,3,3,3,3,2,1,1,2,3,1,2,1,6,6,6,7,6,5,7,3,3,0,0,0,3,2,4,1,1,1,0,0,1,1,0,0,1,1,0,0,2,1,2,14-17 years,pre,latur
Girl,9,15,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1,2,3,2,2,5,5,7,8,8,3,3,0,0,0,3,0,4,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,9,16,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,3,2,2,5,5,5,8,8,3,3,0,0,0,3,0,4,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,9,15,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,3,2,2,5,5,5,8,8,3,3,0,0,0,3,0,4,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,12,1,3,0,0,1,2,2,2,3,2,0,2,0,0,0,2,1,7,7,7,5,5,8,8,1,0,2,0,0,0,0,4,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,10-13 years,pre,latur
Girl,9,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,6,6,1,1,7,8,7,3,1,2,3,3,3,1,4,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,1,2,6,1,1,6,1,7,3,1,2,3,3,3,2,4,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,2,6,1,1,6,1,7,3,1,2,3,3,3,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,14-17 years,pre,latur
Girl,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,6,2,2,6,1,7,3,1,2,3,3,3,2,4,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,0,0,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,1,7,7,7,7,7,7,7,3,3,3,3,3,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,10-13 years,pre,latur
Boy,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,2,5,5,6,1,7,3,1,2,3,3,3,2,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,9,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,1,2,2,1,5,2,2,7,3,1,2,3,3,3,2,4,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,2,2,1,1,6,1,7,3,1,2,3,3,3,2,4,0,0,1,0,0,0,1,1,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Girl,8,14,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,6,6,5,6,6,8,7,1,1,2,1,3,3,2,4,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,1,3,2,3,3,3,3,3,3,2,3,3,2,3,1,2,3,6,6,5,7,6,8,7,1,1,2,1,3,3,2,4,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,14-17 years,pre,latur
Girl,8,14,1,3,2,1,1,3,2,1,3,2,1,3,3,3,3,2,1,6,6,1,1,7,1,7,2,1,2,1,1,2,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,9,14,1,3,2,3,3,3,3,3,3,2,3,3,3,3,2,4,1,6,2,7,7,7,1,8,3,1,2,2,1,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,2,3,2,1,1,3,3,1,3,3,3,3,3,3,3,2,3,6,6,1,1,6,8,8,3,1,2,2,3,2,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,15,2,3,2,1,1,3,3,1,3,3,3,3,3,3,3,2,3,6,6,1,1,6,8,8,3,1,2,2,3,2,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,7,7,5,7,7,8,8,3,3,0,0,3,3,2,4,1,1,1,0,0,1,1,1,0,1,1,1,0,1,3,2,14-17 years,pre,latur
Girl,8,14,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,3,2,1,2,1,2,1,2,2,2,4,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,14-17 years,pre,latur
Boy,9,15,1,3,2,3,2,3,3,0,3,2,1,3,3,3,1,6,1,8,8,5,5,6,8,7,2,1,2,1,1,1,2,4,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,14-17 years,pre,latur
Boy,9,15,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,6,3,2,2,5,5,2,8,7,3,3,1,2,3,2,2,4,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,14-17 years,pre,latur
,9,14,1,1,2,1,2,1,0,3,3,3,3,3,3,3,3,6,3,6,6,1,1,6,1,3,1,1,3,3,3,3,0,4,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,14-17 years,pre,latur
Girl,9,14,1,1,2,1,2,1,2,1,2,1,3,2,1,2,2,6,3,6,2,8,1,1,3,7,1,1,1,2,1,3,1,4,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,2,3,2,3,3,3,3,1,3,3,2,1,3,3,3,1,4,6,2,1,1,2,8,8,1,1,2,2,1,3,2,4,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,4,4,2,2,1,1,2,8,8,3,3,3,2,3,3,2,4,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,7,7,7,7,7,3,3,3,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,7,7,7,7,7,3,3,3,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,9,14,0,3,3,3,0,3,3,3,3,2,1,3,3,3,3,7,1,8,8,5,3,2,1,5,0,1,0,2,0,0,2,4,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,8,14,0,3,1,3,3,2,3,3,3,3,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,9,15,1,3,0,0,0,3,3,0,3,3,3,3,3,3,3,1,1,6,2,5,5,7,1,8,3,1,2,2,3,1,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,3,1,14-17 years,pre,latur
Girl,8,14,1,3,1,1,1,3,3,1,3,3,3,3,3,3,3,4,3,2,2,5,5,2,8,8,1,1,3,2,0,1,2,4,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,2,14-17 years,pre,latur
Boy,8,14,1,2,2,1,1,1,1,1,3,2,1,1,3,3,3,0,0,6,6,7,8,7,8,8,3,3,0,1,3,3,0,4,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,1,2,3,2,1,1,3,1,2,2,3,1,2,4,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Boy,9,16,1,0,0,1,0,0,0,0,2,0,1,1,0,2,0,4,1,6,6,1,1,6,8,7,2,2,2,0,2,2,0,4,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,14-17 years,pre,latur
Girl,9,15,3,3,3,3,3,1,3,1,1,2,1,3,3,3,1,2,4,6,6,1,1,6,8,7,2,1,2,2,2,2,2,4,1,1,1,0,1,1,1,0,1,0,1,0,0,1,3,1,14-17 years,pre,latur
Girl,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,6,6,7,6,6,3,3,3,3,3,3,0,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,9,15,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,7,6,7,8,8,3,3,3,1,3,3,1,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,14-17 years,pre,latur
Girl,9,15,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,1,6,6,2,2,6,7,1,3,3,3,3,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,14-17 years,pre,latur
